A,R,S,τ
1050.0,4350.0,669.5371011946773,87.10412152589053
1050.0,4400.0,685.0625515362467,87.11063137643045
1050.0,4450.0,700.765390449258,87.11833440495548
1050.0,4500.0,716.6456166143395,87.12179840840393
1050.0,4550.0,732.7032282673531,87.13506526643211
1050.0,4600.0,748.9382243112482,87.14535571218437
1050.0,4650.0,765.350603140852,87.15594854607791
1050.0,4700.0,781.9403633213209,87.1700179708736
1050.0,4750.0,798.7075034589765,87.18251459175269
1050.0,4800.0,815.652021513807,87.19037969743479
1050.0,4850.0,832.7739167067347,87.20533023029869
1050.0,4900.0,850.0731871840458,87.2196771313659
1050.0,4950.0,867.5498312157785,87.23843845981673
1050.0,5000.0,885.2038473469336,87.2528735148262
1050.0,5050.0,903.0352339718753,87.26981341447612
1050.0,5100.0,921.0439894068886,87.28489284464595
1050.0,5150.0,939.2301121618738,87.30149474905583
1050.0,5200.0,957.5936004475425,87.32125661179235
1050.0,5250.0,976.1344526684936,87.33620952025841
1050.0,5300.0,994.8526671165619,87.35548482884903
1050.0,5350.0,1013.7482420549228,87.37653275692657
1050.0,5400.0,1032.821175801173,87.39322097763305
1050.0,5450.0,1052.071466618612,87.41782901849778
1050.0,5500.0,1071.4991126987813,87.4374332515708
1050.0,5550.0,1091.1041124027645,87.45310108724179
1050.0,5600.0,1110.8864638163502,87.47914929227295
1050.0,5650.0,1130.8461651504708,87.49780532453703
1050.0,5700.0,1150.9832146472584,87.5198799870098
1050.0,5750.0,1171.2976104294332,87.54360580644
1050.0,5800.0,1191.789350378326,87.56689147836326
1050.0,5850.0,1212.4584334286317,87.58784915573887
1050.0,5900.0,1233.3048568973566,87.61267729182106
1050.0,5950.0,1254.3286191678465,87.63471236184792
1050.0,6000.0,1275.529718292537,87.65889326096479
1100.0,1000.0,33.903871621205695,103.33158895536681
1100.0,1050.0,37.58990845750643,101.6258994270391
1100.0,1100.0,41.455195577637554,100.14982960819333
1100.0,1150.0,45.49980825409871,98.8584894814485
1100.0,1200.0,49.72380491613719,97.72076018699616
1100.0,1250.0,54.12723149470137,96.71067980540687
1100.0,1300.0,58.71012450376146,95.81926892882488
1100.0,1350.0,63.47251325811717,95.0207557633107
1100.0,1400.0,68.41442149895462,94.30499585578447
1100.0,1450.0,73.53586860189172,93.66359245728525
1100.0,1500.0,78.83687048873904,93.07480906861689
1100.0,1550.0,84.3174403388992,92.54538062891933
1100.0,1600.0,89.97758908208115,92.07097987841608
1100.0,1650.0,95.81732586713653,91.62944778947053
1100.0,1700.0,101.83665830386717,91.22824303049757
1100.0,1750.0,108.03559288872391,90.86546485347036
1100.0,1800.0,114.41413499400747,90.53116451312414
1100.0,1850.0,120.97228916954059,90.21572709550725
1100.0,1900.0,127.7100593488396,89.9349782973568
1100.0,1950.0,134.62744870040228,89.66971856018414
1100.0,2000.0,141.72446001899215,89.43241401835884
1100.0,2050.0,149.00109552236552,89.20971028531316
1100.0,2100.0,156.45735719227847,89.0006408458078
1100.0,2150.0,164.0932466149323,88.811864794674
1100.0,2200.0,171.90876507022188,88.64009466220101
1100.0,2250.0,179.9039136671754,88.46866755677279
1100.0,2300.0,188.07869320806068,88.31904239240481
1100.0,2350.0,196.4331043105196,88.18041839637361
1100.0,2400.0,204.96714761061523,88.05209105045635
1100.0,2450.0,213.68082329949107,87.92610186498614
1100.0,2500.0,222.5741316067599,87.81671524661093
1100.0,2550.0,231.64707262810572,87.71371241506745
1100.0,2600.0,240.89964635595462,87.61542942316942
1100.0,2650.0,250.33185264504854,87.52753433208075
1100.0,2700.0,259.94369129110396,87.44208916910075
1100.0,2750.0,269.73516199662726,87.36788219369788
1100.0,2800.0,279.7062644430021,87.28995607476699
1100.0,2850.0,289.85699810679296,87.22847325497477
1100.0,2900.0,300.18736258125335,87.16829285308265
1100.0,2950.0,310.69735727919806,87.10797184252421
1100.0,3000.0,321.3869816192161,87.05644591768598
1100.0,3050.0,332.2562349199665,87.00832527127875
1100.0,3100.0,343.30511648773415,86.96651399957881
1100.0,3150.0,354.5336256798671,86.92131879973377
