t,M,P,model,gene
129.0,0.07318894187980982,8.254626946234396,Repressilator,Gene 1
130.0,0.14224500739435333,10.984842904831998,Repressilator,Gene 1
131.0,0.27457096094321076,17.07793566338197,Repressilator,Gene 1
132.0,0.5216581675316035,29.413703839019835,Repressilator,Gene 1
133.0,0.9613860163349787,53.03334008601364,Repressilator,Gene 1
134.0,1.6834634332392533,95.84127757746164,Repressilator,Gene 1
135.0,2.737556664683908,168.19304554139933,Repressilator,Gene 1
136.0,4.068394693398829,280.0125480515988,Repressilator,Gene 1
137.0,5.51652763992752,435.6892847802732,Repressilator,Gene 1
138.0,6.902853184963817,631.0990805565292,Repressilator,Gene 1
139.0,8.107787486191752,855.3299996133379,Repressilator,Gene 1
140.0,9.08710511597393,1094.8567541872226,Repressilator,Gene 1
141.0,9.848184319900948,1337.098352204495,Repressilator,Gene 1
142.0,10.422417296292457,1572.2086355313847,Repressilator,Gene 1
143.0,10.847258964849354,1793.4482265925992,Repressilator,Gene 1
144.0,11.157472516095549,1996.818081528451,Repressilator,Gene 1
145.0,11.381980196802084,2180.443468441181,Repressilator,Gene 1
146.0,11.543475223893127,2343.9599939648315,Repressilator,Gene 1
147.0,11.659156684541536,2488.0001622452687,Repressilator,Gene 1
148.0,11.741779512694453,2613.801538061901,Repressilator,Gene 1
149.0,11.800669985611538,2722.9250227064995,Repressilator,Gene 1
150.0,11.842582990576178,2817.0615858367396,Repressilator,Gene 1
0.0,1.0e-6,100.0,Repressilator,Gene 3
1.0,0.0004871717977528439,84.09688678253058,Repressilator,Gene 3
2.0,0.0010577054209937845,70.74626547163865,Repressilator,Gene 3
3.0,0.001679856923086513,59.54586687458788,Repressilator,Gene 3
4.0,0.0024843177192500478,50.15734876229763,Repressilator,Gene 3
5.0,0.0037040964654593243,42.303258692362355,Repressilator,Gene 3
6.0,0.005723595881132846,35.76241303153312,Repressilator,Gene 3
7.0,0.009223184886236439,30.369342195493335,Repressilator,Gene 3
8.0,0.015452175662116317,26.021715667324425,Repressilator,Gene 3
9.0,0.026743315389158955,22.701497217181853,Repressilator,Gene 3
10.0,0.04748257903853832,20.52084828971399,Repressilator,Gene 3
11.0,0.08591048638172369,19.813463445293138,Repressilator,Gene 3
12.0,0.1573432930128907,21.308094869516584,Repressilator,Gene 3
13.0,0.2894635527585967,26.442718569670788,Repressilator,Gene 3
14.0,0.5294116804553948,37.88868828316598,Repressilator,Gene 3
15.0,0.9484055616555899,60.28883804441025,Repressilator,Gene 3
16.0,1.6307895963222223,100.93146479965527,Repressilator,Gene 3
17.0,2.6306869756751805,169.53683662989565,Repressilator,Gene 3
18.0,3.910919144043899,275.83837517970875,Repressilator,Gene 3
19.0,5.331175391542525,424.90825856344003,Repressilator,Gene 3
20.0,6.717322285483386,613.8955346462333,Repressilator,Gene 3
21.0,7.9417610424891105,832.994224485595,Repressilator,Gene 3
22.0,8.949285679871567,1069.194676714197,Repressilator,Gene 3
23.0,9.739350441476226,1309.8973180352496,Repressilator,Gene 3
24.0,10.339290443544247,1544.943382720556,Repressilator,Gene 3
25.0,10.785179473006126,1767.1912031082331,Repressilator,Gene 3
26.0,11.111817519734215,1972.2647522884624,Repressilator,Gene 3
27.0,11.348756787688078,2157.983791389993,Repressilator,Gene 3
28.0,11.519473479233934,2323.7576911537194,Repressilator,Gene 3
29.0,11.641902700940399,2470.0627685786535,Repressilator,Gene 3
