t,I,M,P,model,gene
-22,5.115995809754168,0.2469193024361243,60.914889146946955,GR,1
-21,5.115995809754168,0.24691930243930527,60.93095395558993,GR,1
-20,5.115995809754168,0.2469193024420167,60.94670054492906,GR,1
-19,5.115995809754168,0.24691930244444976,60.96213517729271,GR,1
-18,5.115995809754168,0.2469193024467956,60.97726411500927,GR,1
-17,5.115995809754168,0.24691930244923493,60.99209361774924,GR,1
-16,5.115995809754168,0.2469193024514401,61.006629668917206,GR,1
-15,5.115995809754168,0.24691930245326582,61.02087786810989,GR,1
-14,5.115995809754168,0.24691930245483656,61.03484380698959,GR,1
-13,5.115995809754168,0.2469193024562768,61.048533077218565,GR,1
-12,5.115995809754168,0.24691930245771096,61.0619512704591,GR,1
-11,5.115995809754168,0.2469193024592332,61.07510395094363,GR,1
-10,5.115995809754168,0.2469193024607109,61.08799630802381,GR,1
-9,5.115995809754168,0.246919302462092,61.10063332405273,GR,1
-8,5.115995809754168,0.24691930246335567,61.11301998771488,GR,1
-7,5.115995809754168,0.24691930246448096,61.12516128769482,GR,1
-6,5.115995809754168,0.2469193024654471,61.137062212677066,GR,1
-5,5.115995809754168,0.24691930246631089,61.148727670464176,GR,1
-4,5.115995809754168,0.2469193024672044,61.16016218691442,GR,1
-3,5.115995809754168,0.24691930246807922,61.17137020978414,GR,1
-2,5.115995809754168,0.2469193024688807,61.18235618887945,GR,1
-1,5.115995809754168,0.2469193024695541,61.193124574006504,GR,1
0,-10.308952660644309,0.24691932516381346,61.20367981379212,GR,1
1,-10.308952660644309,4.15933216788655,66.99969091485023,GR,1
2,-10.308952660644309,7.699785475761685,90.94932345888057,GR,1
3,-10.308952660644309,10.90364162923628,131.44872670466347,GR,1
4,-10.308952660644309,13.802900566840124,186.52734286399772,GR,1
5,-10.308952660644309,16.426520273208848,254.41426671995603,GR,1
6,-10.308952660644309,18.800705812055185,333.5182113109219,GR,1
7,-10.308952660644309,20.949171025349745,422.4095409936921,GR,1
8,-10.308952660644309,22.89337539410863,519.8041509486086,GR,1
