t,M,P,model,sim,gene
151,1.0468933793291937e-5,0.00293713726067757,Toggle,1,1
152,1.04689337924764e-5,0.0029371366602554717,Toggle,1,1
153,1.0468933791770139e-5,0.0029371361402976736,Toggle,1,1
154,1.0468933791208954e-5,0.0029371357271025774,Toggle,1,1
155,1.046893379078025e-5,0.002937135411391962,Toggle,1,1
156,1.0468933790414815e-5,0.00293713514226764,Toggle,1,1
157,1.046893379005044e-5,0.0029371348739833164,Toggle,1,1
158,1.046893378977105e-5,0.002937134668234011,Toggle,1,1
159,1.0468933789574334e-5,0.002937134523307623,Toggle,1,1
160,1.0468933789397018e-5,0.0029371343926597325,Toggle,1,1
161,1.0468933789187127e-5,0.002937134238060122,Toggle,1,1
162,1.0468933789014205e-5,0.0029371341106737467,Toggle,1,1
163,1.0468933788881944e-5,0.0029371340132228287,Toggle,1,1
164,1.0468933788763499e-5,0.0029371339259702508,Toggle,1,1
165,1.046893378863752e-5,0.002937133833207877,Toggle,1,1
166,1.0468933788522218e-5,0.0029371337482979507,Toggle,1,1
167,1.0468933788423544e-5,0.0029371336756287775,Toggle,1,1
168,1.0468933788342555e-5,0.0029371336159997267,Toggle,1,1
169,1.046893378827779e-5,0.0029371335683389187,Toggle,1,1
170,1.0468933788220345e-5,0.0029371335260731457,Toggle,1,1
171,1.0468933788170916e-5,0.00293713348970548,Toggle,1,1
172,1.04689337881313e-5,0.002937133460560769,Toggle,1,1
173,1.0468933788103855e-5,0.0029371334403768554,Toggle,1,1
174,1.0468933788087546e-5,0.002937133428410306,Toggle,1,1
175,1.046893378807561e-5,0.0029371334196778925,Toggle,1,1
176,1.0468933788061086e-5,0.002937133409050211,Toggle,1,1
177,1.0468933788045789e-5,0.002937133397849589,Toggle,1,1
178,1.0468933788038899e-5,0.0029371333928212176,Toggle,1,1
179,1.0468933788034208e-5,0.0029371333893875792,Toggle,1,1
180,1.0468933788025169e-5,0.0029371333827298194,Toggle,1,1
181,1.0468933788014e-5,0.002937133374509656,Toggle,1,1
182,1.0468933788007694e-5,0.002937133369897679,Toggle,1,1
183,1.0468933788004564e-5,0.0029371333676399057,Toggle,1,1
184,1.04689337880029e-5,0.0029371333664689166,Toggle,1,1
185,1.0468933788000998e-5,0.0029371333651172903,Toggle,1,1
186,1.0468933787997149e-5,0.002937133362317605,Toggle,1,1
187,1.046893378799e-5,0.0029371333570648805,Toggle,1,1
188,1.0468933787983864e-5,0.0029371333525674828,Toggle,1,1
189,1.046893378797991e-5,0.0029371333496944437,Toggle,1,1
190,1.0468933787977364e-5,0.0029371333478653743,Toggle,1,1
191,1.0468933787975453e-5,0.0029371333464998863,Toggle,1,1
192,1.0468933787973401e-5,0.0029371333450175924,Toggle,1,1
193,1.0468933787970435e-5,0.002937133342838103,Toggle,1,1
194,1.0468933787966349e-5,0.0029371333398107804,Toggle,1,1
195,1.0468933787962734e-5,0.0029371333371493364,Toggle,1,1
196,1.046893378795969e-5,0.0029371333349229277,Toggle,1,1
197,1.0468933787957137e-5,0.0029371333330694784,Toggle,1,1
198,1.0468933787955007e-5,0.0029371333315269138,Toggle,1,1
199,1.0468933787953218e-5,0.0029371333302331596,Toggle,1,1
200,1.0468933787951699e-5,0.00293713332912614,Toggle,1,1
0,1.0e-6,100.0,Toggle,1,2
1,3.188744580591149,133.23978105535875,Toggle,1,2
2,3.988945251343591,273.71057473167497,Toggle,1,2
3,3.410219768144514,404.6340219722838,Toggle,1,2
4,2.7480997383203754,486.6214363523768,Toggle,1,2
5,2.2303593385005036,527.3829438545613,Toggle,1,2
6,1.8850072574643544,540.4027409084027,Toggle,1,2
7,1.712494870974191,537.8638697233353,Toggle,1,2
8,1.7202971596408658,530.1312414795249,Toggle,1,2
9,1.9309134064857223,526.4713993782469,Toggle,1,2
10,2.3773807645597147,535.8616605099847,Toggle,1,2
11,3.084781034684977,567.2870682330949,Toggle,1,2
12,4.04093668375781,628.9728939712146,Toggle,1,2
13,5.176168839722732,726.4601122269355,Toggle,1,2
14,6.376144102567698,860.5025228357249,Toggle,1,2
15,7.523420743572816,1026.3785839839636,Toggle,1,2
16,8.534998522709865,1215.2541882985754,Toggle,1,2
17,9.37369981583816,1416.6657605534551,Toggle,1,2
18,10.038509455363736,1620.7537727949816,Toggle,1,2
19,10.548813986950321,1819.5572440885046,Toggle,1,2
20,10.93169377343623,2007.4138163107868,Toggle,1,2
21,11.214366218087532,2180.801391544297,Toggle,1,2
22,11.42068004397705,2337.9341969319776,Toggle,1,2
23,11.57003944662378,2478.3101443903897,Toggle,1,2
24,11.677540269852074,2602.3055607676306,Toggle,1,2
25,11.754592960131625,2710.8508460713447,Toggle,1,2
26,11.809657913166083,2805.188794796132,Toggle,1,2
27,11.848926192430339,2886.704018387213,Toggle,1,2
28,11.876887057970189,2956.808374146092,Toggle,1,2
29,11.89677500145718,3016.868116015278,Toggle,1,2
30,11.910909957899525,3068.160873731376,Toggle,1,2
31,11.920950581578861,3111.853227706074,Toggle,1,2
32,11.92808004981459,3148.992028855581,Toggle,1,2
33,11.933141001417292,3180.504526749175,Toggle,1,2
34,11.936732894771039,3207.2038804116914,Toggle,1,2
35,11.939281794207949,3229.7976366582884,Toggle,1,2
36,11.941090383905452,3248.89767428073,Toggle,1,2
37,11.942373587720114,3265.0305083518842,Toggle,1,2
38,11.943283984615865,3278.6474122424925,Toggle,1,2
39,11.943929861309307,3290.1339011593454,Toggle,1,2
40,11.944388064600611,3299.818449246339,Toggle,1,2
41,11.944713121119703,3307.980313480467,Toggle,1,2
42,11.944943718235137,3314.8564805139504,Toggle,1,2
43,11.945107304019745,3320.647766783935,Toggle,1,2
44,11.945223350911688,3325.5241231753866,Toggle,1,2
45,11.945305673802908,3329.62923553782,Toggle,1,2
46,11.945364072740938,3333.084473456147,Toggle,1,2
47,11.945405500301996,3335.9922869467237,Toggle,1,2
48,11.945434888429016,3338.439099719786,Toggle,1,2
49,11.945455735949597,3340.497781679804,Toggle,1,2
50,11.94547052485451,3342.229747119006,Toggle,1,2
51,11.94548101585529,3343.686737440502,Toggle,1,2
52,11.945488457994742,3344.912331975092,Toggle,1,2
53,11.94549373730539,3345.9432253746277,Toggle,1,2
54,11.945497482351312,3346.8103098112165,Toggle,1,2
55,11.945500139005938,3347.5395867075154,Toggle,1,2
56,11.945502023581144,3348.1529387670344,Toggle,1,2
57,11.945503360453136,3348.668779238546,Toggle,1,2
58,11.945504308796957,3349.1026008984436,Toggle,1,2
59,11.945504981526044,3349.467437770967,Toggle,1,2
60,11.945505458739772,3349.7742546087793,Toggle,1,2
61,11.945505797259734,3350.032274879459,Toggle,1,2
62,11.94550603739325,3350.24925670804,Toggle,1,2
63,11.945506207734478,3350.4317256062805,Toggle,1,2
64,11.945506328566617,3350.5851698608353,Toggle,1,2
65,11.945506414278855,3350.7142054695455,Toggle,1,2
66,11.945506475078044,3350.8227144970742,Toggle,1,2
67,11.945506518205,3350.9139618185495,Toggle,1,2
68,11.945506548795972,3350.990693117209,Toggle,1,2
