A,R,amplitude,period
1.1e6,3650.0,1670.1416095537377,64.0
1.1e6,3700.0,1694.7271205075936,64.09999999999991
1.1e6,3750.0,1719.3080795719648,64.30000000000018
1.1e6,3800.0,1743.8807889381,64.29999999999995
1.1e6,3850.0,1768.4734857786673,64.5
1.1e6,3900.0,1793.0587994808352,64.5
1.1e6,3950.0,1817.648121509127,64.59999999999991
1.1e6,4000.0,1842.2389724787479,64.79999999999995
1.1e6,4050.0,1866.8030206188937,64.90000000000009
1.1e6,4100.0,1891.413946377677,65.0
1.1e6,4150.0,1915.9987080190424,65.0
1.1e6,4200.0,1940.586926123991,65.10000000000014
1.1e6,4250.0,1965.1830377995157,65.20000000000005
1.1e6,4300.0,1989.770825907951,65.40000000000009
1.1e6,4350.0,2014.3557174778853,65.40000000000009
1.1e6,4400.0,2038.953385768531,65.59999999999991
1.1e6,4450.0,2063.561470410209,65.59999999999991
1.1e6,4500.0,2088.16097373851,65.70000000000005
1.1e6,4550.0,2112.758762914673,65.79999999999995
1.1e6,4600.0,2137.344548195947,65.90000000000009
1.1e6,4650.0,2161.9608323604198,66.0
1.1e6,4700.0,2186.5606646854917,66.10000000000014
1.1e6,4750.0,2211.182918608086,66.20000000000005
1.1e6,4800.0,2235.789892242935,66.20000000000005
1.1e6,4850.0,2260.4009798444504,66.29999999999995
1.1e6,4900.0,2285.0199077071834,66.40000000000009
1.1e6,4950.0,2309.6349039524707,66.5
1.1e6,5000.0,2334.2282677976714,66.60000000000014
1.1e6,5050.0,2358.8800715690977,66.69999999999982
1.1e6,5100.0,2383.491231100231,66.70000000000005
1.1e6,5150.0,2408.0987175191362,66.89999999999986
1.1e6,5200.0,2432.742963899951,67.0
1.1e6,5250.0,2457.3737157225078,67.10000000000014
1.1e6,5300.0,2481.993378288892,67.09999999999991
1.1e6,5350.0,2506.6618987674233,67.20000000000005
1.1e6,5400.0,2531.306035102943,67.29999999999995
1.1e6,5450.0,2555.9327069935316,67.30000000000018
1.1e6,5500.0,2580.5893117612327,67.5
1.1e6,5550.0,2605.2473573523366,67.5
1.1e6,5600.0,2629.8890548915933,67.59999999999991
1.1e6,5650.0,2654.51982118718,67.70000000000005
1.1e6,5700.0,2679.200628015046,67.79999999999995
1.1e6,5750.0,2703.8669781257236,67.80000000000018
1.1e6,5800.0,2728.5286852983413,67.90000000000009
1.1e6,5850.0,2753.179805727701,68.0
1.1e6,5900.0,2777.8488371720186,68.0
1.1e6,5950.0,2802.5487651854537,68.10000000000014
1.1e6,6000.0,2827.203644150516,68.20000000000005
1.15e6,1000.0,337.05249265298323,56.0
1.15e6,1050.0,365.33982947319663,56.200000000000045
1.15e6,1100.0,393.0657533502485,56.40000000000009
1.15e6,1150.0,420.34233932780455,56.59999999999991
1.15e6,1200.0,447.2647512525575,56.799999999999955
1.15e6,1250.0,473.8845423542934,57.0
1.15e6,1300.0,500.2519300675539,57.200000000000045
1.15e6,1350.0,526.4069353702489,57.299999999999955
1.15e6,1400.0,552.3828969950697,57.5
1.15e6,1450.0,578.2078338773008,57.700000000000045
1.15e6,1500.0,603.896978757551,57.899999999999864
1.15e6,1550.0,629.4648928811424,58.09999999999991
1.15e6,1600.0,654.9367496681708,58.200000000000045
1.15e6,1650.0,680.3126711609073,58.40000000000009
1.15e6,1700.0,705.6152842282306,58.5
1.15e6,1750.0,730.8440774655478,58.700000000000045
1.15e6,1800.0,756.0116684672314,58.90000000000009
1.15e6,1850.0,781.1234847105865,59.0
1.15e6,1900.0,806.1765151907039,59.09999999999991
1.15e6,1950.0,831.1984754237334,59.299999999999955
1.15e6,2000.0,856.1732315569482,59.5
1.15e6,2050.0,881.103608763665,59.600000000000136
1.15e6,2100.0,906.0040135165558,59.799999999999955
1.15e6,2150.0,930.8914439124189,59.90000000000009
1.15e6,2200.0,955.7275908730884,60.0
1.15e6,2250.0,980.5577953033333,60.200000000000045
1.15e6,2300.0,1005.3649289497994,60.40000000000009
1.15e6,2350.0,1030.1470800642958,60.5
1.15e6,2400.0,1054.9005933488775,60.700000000000045
1.15e6,2450.0,1079.6558498638858,60.799999999999955
1.15e6,2500.0,1104.3840930362135,60.90000000000009
1.15e6,2550.0,1129.084245678119,61.09999999999991
1.15e6,2600.0,1153.7998791291343,61.200000000000045
1.15e6,2650.0,1178.488527396625,61.399999999999864
1.15e6,2700.0,1203.1758093109895,61.399999999999864
1.15e6,2750.0,1227.83665786846,61.5
1.15e6,2800.0,1252.5038022416834,61.700000000000045
1.15e6,2850.0,1277.149585312934,61.90000000000009
1.15e6,2900.0,1301.7979308523418,62.0
1.15e6,2950.0,1326.4511776769173,62.09999999999991
1.15e6,3000.0,1351.0842102100257,62.200000000000045
1.15e6,3050.0,1375.719953657728,62.299999999999955
1.15e6,3100.0,1400.3416333643108,62.5
1.15e6,3150.0,1424.9565111486922,62.5
1.15e6,3200.0,1449.5752725304972,62.700000000000045
1.15e6,3250.0,1474.1920288026458,62.799999999999955
1.15e6,3300.0,1498.7923724079465,63.0
1.15e6,3350.0,1523.4160283130566,63.0
1.15e6,3400.0,1548.0029310877671,63.100000000000136
1.15e6,3450.0,1572.6059698716901,63.299999999999955
1.15e6,3500.0,1597.2144261880965,63.299999999999955
1.15e6,3550.0,1621.8301569395937,63.5
1.15e6,3600.0,1646.4160834467552,63.5
1.15e6,3650.0,1671.0029338649122,63.69999999999982
1.15e6,3700.0,1695.6053965372696,63.700000000000045
1.15e6,3750.0,1720.2210054363018,63.899999999999864
1.15e6,3800.0,1744.8112915553545,64.0
1.15e6,3850.0,1769.4204518914114,64.09999999999991
1.15e6,3900.0,1794.017717066974,64.20000000000005
1.15e6,3950.0,1818.6176022610346,64.29999999999995
1.15e6,4000.0,1843.2024870633447,64.40000000000009
1.15e6,4050.0,1867.8109726464095,64.5
1.15e6,4100.0,1892.3891877975675,64.59999999999991
1.15e6,4150.0,1917.005537951344,64.70000000000005
1.15e6,4200.0,1941.6066339950585,64.79999999999995
1.15e6,4250.0,1966.193303404215,64.79999999999995
1.15e6,4300.0,1990.8261933447397,65.0
1.15e6,4350.0,2015.4120054650587,65.10000000000014
1.15e6,4400.0,2040.0407150313724,65.20000000000005
1.15e6,4450.0,2064.6504231786853,65.29999999999995
1.15e6,4500.0,2089.2632627903436,65.29999999999995
1.15e6,4550.0,2113.872345302443,65.5
1.15e6,4600.0,2138.461751328182,65.60000000000014
1.15e6,4650.0,2163.1073180756507,65.59999999999991
1.15e6,4700.0,2187.697148300644,65.70000000000005
1.15e6,4750.0,2212.334073762925,65.79999999999995
1.15e6,4800.0,2236.9632693800645,65.90000000000009
1.15e6,4850.0,2261.5863747827325,66.0
1.15e6,4900.0,2286.194841900093,66.10000000000014
1.15e6,4950.0,2310.844836573182,66.09999999999991
1.15e6,5000.0,2335.4783689518276,66.30000000000018
1.15e6,5050.0,2360.113268419465,66.29999999999995
1.15e6,5100.0,2384.719627064112,66.40000000000009
1.15e6,5150.0,2409.377433464601,66.5
1.15e6,5200.0,2434.0241442579336,66.60000000000014
1.15e6,5250.0,2458.6582161411766,66.70000000000005
1.15e6,5300.0,2483.3101159633093,66.70000000000005
1.15e6,5350.0,2507.983320509861,66.79999999999995
1.15e6,5400.0,2532.608914066136,66.89999999999986
1.15e6,5450.0,2557.2929972462903,67.0
1.15e6,5500.0,2581.932816472179,67.0
1.15e6,5550.0,2606.5768049253484,67.20000000000005
1.15e6,5600.0,2631.2543481116168,67.29999999999995
1.15e6,5650.0,2655.918494254294,67.30000000000018
1.15e6,5700.0,2680.574222058961,67.29999999999995
1.15e6,5750.0,2705.2779468036874,67.40000000000009
1.15e6,5800.0,2729.944681711563,67.60000000000014
1.15e6,5850.0,2754.605328188475,67.60000000000014
1.15e6,5900.0,2779.3220547874253,67.70000000000005
1.15e6,5950.0,2804.001469984535,67.79999999999995
1.15e6,6000.0,2828.687376858906,67.79999999999995
1.2e6,1000.0,337.1188586545597,55.700000000000045
1.2e6,1050.0,365.41429594521315,55.899999999999864
1.2e6,1100.0,393.1516879414262,56.09999999999991
1.2e6,1150.0,420.4395246171041,56.299999999999955
1.2e6,1200.0,447.36914996418193,56.399999999999864
1.2e6,1250.0,473.9948606947877,56.600000000000136
1.2e6,1300.0,500.37554269353006,56.799999999999955
1.2e6,1350.0,526.5372067337437,57.0
1.2e6,1400.0,552.5202502401459,57.09999999999991
1.2e6,1450.0,578.3578437756191,57.30000000000018
1.2e6,1500.0,604.0502719730825,57.5
1.2e6,1550.0,629.6347281075412,57.700000000000045
1.2e6,1600.0,655.1076054949558,57.80000000000018
1.2e6,1650.0,680.5001870713033,58.0
1.2e6,1700.0,705.7991511365689,58.299999999999955
1.2e6,1750.0,731.0432503046102,58.299999999999955
1.2e6,1800.0,756.2198448131182,58.59999999999991
