R,amplitude,period
3633.266842615937,1597.8655258287372,56.3703947833867
4101.970961959593,1821.0970478112863,57.70660318727619
6645.788702492729,3031.756701481829,61.45640722240006
8100.65513365068,3725.976897679581,63.10506858324152
4798.298914549183,2152.449745277375,58.895225613717
7151.2328148742645,3272.944554502949,62.18399068935031
3673.9612285616327,1617.7294607126726,56.762937757044824
4352.828637007852,1940.3656003292713,57.90418124877874
1876.540475034902,757.1312513850089,52.51573343791932
5658.907360176377,2561.7837439778127,60.189940159492664
3529.1756482558594,1548.7473014698976,56.54231904043411
3175.1349290847465,1380.2803251401338,55.83648634081595
10403.116191826277,4827.902410097021,65.00518152982261
10533.470647961161,4890.592657718395,65.28599084461422
3593.1148383179616,1579.2613184530371,56.69471550103907
5122.245590641696,2306.493139570463,59.48207027047448
3753.719439898299,1655.71109099764,56.92339991905152
6333.671705273744,2883.0129268956057,61.23060731185694
6704.047776230329,3059.688294954914,61.393991758547656
6468.922325321355,2947.224556590589,61.07154103362541
4166.538607900733,1851.5102049434,57.86849194789568
5754.666776025027,2607.2298413046215,60.03112558837199
3975.012901921495,1760.944471898986,57.26903367832671
6311.487166841735,2872.5841293352464,61.05600338448227
6090.962546930974,2767.6040228056745,60.60228637080195
2727.7289358848616,1166.5615060251423,54.650687156657284
5546.350140540608,2507.577068308186,60.16408886195518
6163.4965163491315,2802.0944639057907,60.665602231676985
6701.849989312192,3058.6673738529307,61.363207767332995
6468.207042766744,2946.979050051063,61.29065614762624
3704.1912062150377,1632.1345818662187,56.97061978538949
4396.267785104197,1960.9401200422278,58.15331655209036
3706.7901121588297,1633.3440020005096,56.7972127961242
11329.698030281772,5272.711855331603,66.09467007923814
3653.3518367922265,1607.8958422166552,56.645354844477595
3832.5617062695746,1693.008495051403,57.091757365760486
4625.433324399223,2069.756044267041,58.52899237466039
10851.85087532638,5043.134313110617,65.55894740845099
4590.098379695791,2053.009921981097,58.606653027279265
5486.00022690582,2479.086635150187,60.084384734576474
5496.954449216159,2484.831064051693,60.041617095064794
5316.604080023491,2398.9876243347476,59.75636900049312
6212.55513144746,2825.4201845287753,60.89502687494013
3231.1224816202875,1406.94820484645,55.71575519868634
6567.968066914877,2994.7238116068174,61.08006411981137
5864.217898244375,2659.51928517745,60.41105584503322
5648.291034752498,2556.8255581633643,59.997270816268724
5826.916224379973,2641.7057623615638,60.35677306005334
8145.099645937823,3747.336496795986,62.915158498343544
4462.497855549537,1992.7415606507134,58.149699098203826
3182.281157734019,1383.6954163597447,55.82546023288489
5958.202347428507,2704.391378341873,60.61915800673739
3251.600882704027,1416.5963168596575,55.821079842740176
3114.292859844411,1351.252566875328,55.7195345065266
4534.068215925342,2026.7498281485302,58.38711437762021
3132.3477092790354,1359.4121905327036,55.58629125824689
3104.2973618111114,1345.933143735075,55.59653797743567
9975.814544864976,4622.556148063763,64.97017196429482
5336.491505891352,2408.344059398163,59.67194019522452
3525.604454714005,1547.0237504300205,56.359689002258904
5833.752289540315,2644.6502936058673,60.44692557150563
6135.431074133921,2788.7814332465114,60.829917977144476
9222.027957414259,4262.13652284818,64.1181609552479
4659.480441402905,2085.919888441167,58.3737328437071
2608.6703558760037,1109.4280352874057,54.007131605421364
7772.994768751556,3569.018395664165,62.926861791220006
6209.606407565857,2824.090749211156,60.98400216397749
6962.862474393055,3182.516303188736,61.80702550666723
3471.342035599952,1521.3107913947335,56.354865807336864
3487.6486963218017,1528.9017416643856,56.56432704560552
4250.7813815611835,1891.8974530573296,57.84970052292863
4224.374751338664,1879.0073039167405,58.18709683339216
7904.467504926283,3632.415055638038,62.8872526935545
4831.078087642431,2168.0499011794172,58.87416552838147
6451.701600104192,2939.0914165442887,60.95605894629466
8709.550849074642,4017.1676070776134,63.853560021868475
