t,M,P,model,gene
98.0,0.037455874050376106,79.24847279830585,Repressilator,Gene 1
99.0,0.043082728122516865,68.39819179717165,Repressilator,Gene 1
100.0,0.05154009553362554,59.560900793512516,Repressilator,Gene 1
101.0,0.06364035124965996,52.55262320849997,Repressilator,Gene 1
102.0,0.08055223455262499,47.259204693051835,Repressilator,Gene 1
103.0,0.10391680664692732,43.64252803540446,Repressilator,Gene 1
104.0,0.1360032634543247,41.75143802521908,Repressilator,Gene 1
105.0,0.17991128129175676,41.73851975071691,Repressilator,Gene 1
106.0,0.2398226804529964,43.883993763213624,Repressilator,Gene 1
107.0,0.32129481789194186,48.627884225187145,Repressilator,Gene 1
108.0,0.4315665114108774,56.611013662095246,Repressilator,Gene 1
109.0,0.5798084446812313,68.72378614166469,Repressilator,Gene 1
110.0,0.7771894652811941,86.15826703747621,Repressilator,Gene 1
111.0,1.0365535470162848,110.45252004290069,Repressilator,Gene 1
112.0,1.3714390056466466,143.5057284138635,Repressilator,Gene 1
113.0,1.7941922689283993,187.53101971576288,Repressilator,Gene 1
114.0,2.313137841042693,244.90908763381117,Repressilator,Gene 1
115.0,2.9292303450874524,317.92037785795685,Repressilator,Gene 1
116.0,3.6332108738475193,408.37032884849293,Repressilator,Gene 1
117.0,4.404613084471089,517.173227242992,Repressilator,Gene 1
118.0,5.213548961979737,644.0044354268795,Repressilator,Gene 1
119.0,6.02503914804409,787.1363732251197,Repressilator,Gene 1
120.0,6.804429797268427,943.5227889031678,Repressilator,Gene 1
121.0,7.522006059434479,1109.1088626420092,Repressilator,Gene 1
122.0,8.155469207985538,1279.2689804955894,Repressilator,Gene 1
123.0,8.68993115662107,1449.2457086065174,Repressilator,Gene 1
124.0,9.115812771281336,1614.4825617862152,Repressilator,Gene 1
125.0,9.425249846223483,1770.7842111533598,Repressilator,Gene 1
126.0,9.607522451745242,1914.2753624116783,Repressilator,Gene 1
127.0,9.64415310689785,2041.156998033709,Repressilator,Gene 1
128.0,9.505429890543244,2147.29682991077,Repressilator,Gene 1
129.0,9.152771170009283,2227.7903368501948,Repressilator,Gene 1
130.0,8.553608701997312,2276.833758230867,Repressilator,Gene 1
131.0,7.709538326550154,2288.443337683737,Repressilator,Gene 1
132.0,6.6793882142303,2258.289053031846,Repressilator,Gene 1
133.0,5.569460608214046,2185.8993765644973,Repressilator,Gene 1
134.0,4.492450825621032,2075.6943189513986,Repressilator,Gene 1
135.0,3.529586928138876,1936.0528648973475,Repressilator,Gene 1
136.0,2.7191931570731827,1777.163259622519,Repressilator,Gene 1
137.0,2.0657138654349474,1608.9419472385598,Repressilator,Gene 1
138.0,1.5542456706796457,1439.7328442821279,Repressilator,Gene 1
139.0,1.1621046172663898,1275.815120344724,Repressilator,Gene 1
140.0,0.8657160631052478,1121.4499176089523,Repressilator,Gene 1
141.0,0.6439057388575263,979.1901585860984,Repressilator,Gene 1
142.0,0.4790394959443963,850.2685630690748,Repressilator,Gene 1
143.0,0.3570701274650264,734.9660194782956,Repressilator,Gene 1
144.0,0.26711798967923095,632.919969057055,Repressilator,Gene 1
145.0,0.20091265890576956,543.3639497103317,Repressilator,Gene 1
146.0,0.15224817926239662,465.3040662965255,Repressilator,Gene 1
147.0,0.11651195528224378,397.64345539285836,Repressilator,Gene 1
148.0,0.09030230294794576,339.2664572025003,Repressilator,Gene 1
149.0,0.07112975085458632,289.09288292274846,Repressilator,Gene 1
150.0,0.05718955599864798,246.11082509389053,Repressilator,Gene 1
0.0,1.0e-6,100.0,Repressilator,Gene 2
1.0,0.04045988378742948,84.70217567900404,Repressilator,Gene 2
2.0,0.07743766640975784,73.54326632130478,Repressilator,Gene 2
3.0,0.10801311803403109,65.73811362702524,Repressilator,Gene 2
4.0,0.13432340723861705,60.48553212497022,Repressilator,Gene 2
5.0,0.16028031523061034,57.236394967031366,Repressilator,Gene 2
6.0,0.18973914666265676,55.70413966026694,Repressilator,Gene 2
7.0,0.2264236496988392,55.81890170689882,Repressilator,Gene 2
8.0,0.274287211654811,57.69170665853614,Repressilator,Gene 2
9.0,0.33792059411563014,61.6013243612249,Repressilator,Gene 2
10.0,0.42293832873021203,68.00163799284248,Repressilator,Gene 2
11.0,0.5363219187875348,77.54533232584568,Repressilator,Gene 2
12.0,0.6866709269419962,91.11912616425653,Repressilator,Gene 2
13.0,0.8842585043590078,109.88350718166608,Repressilator,Gene 2
14.0,1.140721186205659,135.30487035343418,Repressilator,Gene 2
15.0,1.468161128067206,169.1602331576065,Repressilator,Gene 2
16.0,1.8774602533830185,213.4868786721174,Repressilator,Gene 2
17.0,2.3757836823395735,270.44728852104834,Repressilator,Gene 2
18.0,2.9636348680340987,342.09087657662764,Repressilator,Gene 2
19.0,3.6323192633754022,430.0229801862357,Repressilator,Gene 2
20.0,4.3629553368785965,535.0345367933608,Repressilator,Gene 2
21.0,5.127858945214182,656.7851262890331,Repressilator,Gene 2
22.0,5.894175860588428,793.6399741512461,Repressilator,Gene 2
23.0,6.628570214559761,942.721233254498,Repressilator,Gene 2
24.0,7.301306150990359,1100.1597734977781,Repressilator,Gene 2
25.0,7.888427447525507,1261.4642317278406,Repressilator,Gene 2
26.0,8.371553210661196,1421.8919641506245,Repressilator,Gene 2
27.0,8.735511466066681,1576.716443065418,Repressilator,Gene 2
28.0,8.964432339423158,1721.3204557482313,Repressilator,Gene 2
29.0,9.03734119188252,1851.0887828508878,Repressilator,Gene 2
30.0,8.925415371812823,1961.1352985617038,Repressilator,Gene 2
31.0,8.595229165314915,2046.0129101845716,Repressilator,Gene 2
32.0,8.023303363809827,2099.739969352656,Repressilator,Gene 2
33.0,7.220537304134682,2116.5976616673784,Repressilator,Gene 2
34.0,6.249044436634437,2092.8315405536823,Repressilator,Gene 2
35.0,5.209686160447194,2028.503868484202,Repressilator,Gene 2
36.0,4.205171782505419,1928.193069067267,Repressilator,Gene 2
37.0,3.308276576854594,1799.9900625233004,Repressilator,Gene 2
38.0,2.5530493890906456,1653.5143888547402,Repressilator,Gene 2
39.0,1.9431925116790227,1498.0508846926186,Repressilator,Gene 2
40.0,1.4649906410291005,1341.3957250956405,Repressilator,Gene 2
41.0,1.0976329384334853,1189.4235278519961,Repressilator,Gene 2
42.0,0.8194306967764944,1046.1360479581108,Repressilator,Gene 2
43.0,0.6108340947174149,913.9479680364209,Repressilator,Gene 2
44.0,0.4555058809058468,794.0441902599832,Repressilator,Gene 2
45.0,0.3403917224982886,686.7199128698176,Repressilator,Gene 2
46.0,0.2553535256539709,591.6662973453705,Repressilator,Gene 2
47.0,0.1926665499927482,508.1931348691101,Repressilator,Gene 2
48.0,0.14652296989076002,435.39347862389553,Repressilator,Gene 2
49.0,0.11259962166597169,372.26019928289145,Repressilator,Gene 2
50.0,0.0877055407206431,317.7651497072654,Repressilator,Gene 2
51.0,0.06950574285953727,270.91048486353765,Repressilator,Gene 2
52.0,0.05631015746664229,230.7599377965228,Repressilator,Gene 2
53.0,0.04691462087256204,196.4561071317158,Repressilator,Gene 2
54.0,0.04048211783290842,167.22829532821189,Repressilator,Gene 2
55.0,0.03645589020830705,142.39420538755502,Repressilator,Gene 2
56.0,0.03449956477087507,121.35784639128507,Repressilator,Gene 2
57.0,0.034461167400510126,103.6053501946929,Repressilator,Gene 2
58.0,0.0363582098418649,88.70001395317152,Repressilator,Gene 2
59.0,0.040381684829217446,76.27761682543971,Repressilator,Gene 2
60.0,0.04691839405728538,66.04284842698613,Repressilator,Gene 2
61.0,0.05659307139598549,57.76754414680991,Repressilator,Gene 2
