t,M,P,model,sim,gene
170,0.010645868272796151,2.9867737669785273,Toggle,1,1
171,0.010645868277792358,2.9867737794082156,Toggle,1,1
172,0.010645868279268016,2.9867737829712584,Toggle,1,1
173,0.010645868274435828,2.9867737706015918,Toggle,1,1
174,0.010645868268046815,2.9867737543414243,Toggle,1,1
175,0.010645868268473437,2.98677375540299,Toggle,1,1
176,0.010645868272943405,2.9867737667421026,Toggle,1,1
177,0.010645868278578585,2.9867737810462525,Toggle,1,1
178,0.01064586828250084,2.9867737910029315,Toggle,1,1
179,0.01064586828183204,2.986773789299631,Toggle,1,1
180,0.01064586827411889,2.9867737697045156,Toggle,1,1
181,0.010645868266583652,2.9867737505910807,Toggle,1,1
182,0.010645868261965483,2.9867737389124276,Toggle,1,1
183,0.010645868259173703,2.9867737318771863,Toggle,1,1
184,0.010645868257117632,2.986773726693985,Toggle,1,1
185,0.010645868254706592,2.9867737205714513,Toggle,1,1
186,0.010645868250849908,2.986773710718215,Toggle,1,1
187,0.010645868244889578,2.986773695471346,Toggle,1,1
188,0.010645868238119494,2.986773678220326,Toggle,1,1
189,0.010645868230994022,2.9867736601161003,Toggle,1,1
190,0.010645868223808592,2.9867736418926745,Toggle,1,1
191,0.010645868216858636,2.9867736242840524,Toggle,1,1
192,0.010645868210439582,2.9867736080242397,Toggle,1,1
193,0.010645868204846861,2.986773593847241,Toggle,1,1
194,0.010645868200375901,2.98677358248706,Toggle,1,1
195,0.010645868197322132,2.986773574677702,Toggle,1,1
196,0.010645868195980984,2.986773571153172,Toggle,1,1
197,0.010645868196647887,2.9867735726474756,Toggle,1,1
198,0.010645868198431963,2.9867735769436843,Toggle,1,1
199,0.010645868199896635,2.9867735804723687,Toggle,1,1
200,0.010645868201205378,2.9867735836473788,Toggle,1,1
0,1.0e-6,100.0,Toggle,1,2
1,2.698826172289611,126.04859589219407,Toggle,1,2
2,3.5924616785844825,244.30663459301294,Toggle,1,2
3,3.3952227936263526,366.9906250823345,Toggle,1,2
4,2.953481074995929,457.186761689416,Toggle,1,2
5,2.530949636517204,513.1629660160185,Toggle,1,2
6,2.1941353413620917,542.2232785414952,Toggle,1,2
7,1.9529135918320324,552.6615227702171,Toggle,1,2
8,1.8005206741781412,551.670790159314,Toggle,1,2
9,1.7259982950213857,544.9469503077612,Toggle,1,2
10,1.7180567469510215,536.786967869548,Toggle,1,2
11,1.7660151327525548,530.304884333889,Toggle,1,2
12,1.8598506740298693,527.6444851635889,Toggle,1,2
13,1.990197508563099,530.1605078582658,Toggle,1,2
14,2.1486036235809927,538.5754087627672,Toggle,1,2
15,2.3280229329736835,553.1271662167386,Toggle,1,2
16,2.5233285988125727,573.7173062936772,Toggle,1,2
17,2.7316117897632317,600.0565107625595,Toggle,1,2
18,2.9521441937598882,631.7962320450331,Toggle,1,2
19,3.1860304403993074,668.6331601626218,Toggle,1,2
20,3.4356675728433577,710.378170245075,Toggle,1,2
21,3.7041396019611854,756.9884201139686,Toggle,1,2
22,3.9946366847879426,808.5668838913834,Toggle,1,2
23,4.30994137047843,865.3363757933926,Toggle,1,2
24,4.651992821081676,927.595475751117,Toggle,1,2
25,5.021529547713071,995.6629250882593,Toggle,1,2
26,5.417816657090946,1069.8161057715897,Toggle,1,2
27,5.838475841865675,1150.2287568845327,Toggle,1,2
28,6.279446087621088,1236.9132046823904,Toggle,1,2
29,6.735102679456625,1329.6727621999655,Toggle,1,2
30,7.198547463693697,1428.070024697037,Toggle,1,2
31,7.662055852577712,1531.415978362568,Toggle,1,2
32,8.117633236012878,1638.7827987393575,Toggle,1,2
33,8.557606818092134,1749.0402206022977,Toggle,1,2
34,8.97516851041788,1860.9117483362302,Toggle,1,2
35,9.364795220706005,1973.0440473219257,Toggle,1,2
36,9.72250055844832,2084.08104600476,Toggle,1,2
37,10.04590718427486,2192.7342233089175,Toggle,1,2
38,10.33416076124835,2297.8420236432244,Toggle,1,2
39,10.587727277329755,2398.413806034037,Toggle,1,2
40,10.80812307616886,2493.656492837902,Toggle,1,2
41,10.997623383814162,2582.9845275206853,Toggle,1,2
42,11.158984800947445,2666.0155071333543,Toggle,1,2
43,11.295204610813725,2742.5548324035485,Toggle,1,2
44,11.409328007502149,2812.57297834431,Toggle,1,2
45,11.504305266931889,2876.1787341440095,Toggle,1,2
46,11.582894901640415,2933.5912032786,Toggle,1,2
47,11.647605621246091,2985.112672126842,Toggle,1,2
48,11.70066879379593,3031.1037786051347,Toggle,1,2
49,11.744033348395517,3071.9618192046764,Toggle,1,2
50,11.779376061571432,3108.1025623017154,Toggle,1,2
51,11.808121441367144,3139.945588541854,Toggle,1,2
52,11.831466924380264,3167.902926950182,Toggle,1,2
53,11.850410004888033,3192.370671169649,Toggle,1,2
54,11.865775414060915,3213.723130825121,Toggle,1,2
55,11.878240581015561,3232.3090639909874,Toggle,1,2
56,11.88835905439772,3248.449641685993,Toggle,1,2
57,11.896581061767328,3262.4376793610636,Toggle,1,2
58,11.903271516509877,3274.537899916799,Toggle,1,2
59,11.908725294619336,3284.987871655938,Toggle,1,2
60,11.913180157034091,3293.9994534099046,Toggle,1,2
61,11.91682751071723,3301.76053984873,Toggle,1,2
62,11.919821275894872,3308.4369645144134,Toggle,1,2
63,11.922285188732376,3314.1744858143184,Toggle,1,2
64,11.924318707391864,3319.1007302528005,Toggle,1,2
65,11.926001834590652,3323.327098085033,Toggle,1,2
66,11.927398975483992,3326.9505367493234,Toggle,1,2
67,11.928562058736755,3330.0552115803093,Toggle,1,2
68,11.929533021448373,3332.7140209636336,Toggle,1,2
69,11.930345825292147,3334.9899930557085,Toggle,1,2
70,11.931028012914563,3336.937512274335,Toggle,1,2
71,11.931601997733102,3338.6034480141984,Toggle,1,2
72,11.93208607369873,3340.028134399137,Toggle,1,2
73,11.932495210943395,3341.246234756981,Toggle,1,2
74,11.932841705645403,3342.2875177438304,Toggle,1,2
75,11.933135690875039,3343.1775243685584,Toggle,1,2
76,11.933385541096513,3343.938145592642,Toggle,1,2
77,11.933598202887168,3344.5881366913086,Toggle,1,2
78,11.933779457522967,3345.143557975954,Toggle,1,2
79,11.933934129740134,3345.618151401481,Toggle,1,2
80,11.934066258751866,3346.023672066223,Toggle,1,2
81,11.934179236506715,3346.3701737041474,Toggle,1,2
82,11.93427591821415,3346.66625035896,Toggle,1,2
83,11.934358712839385,3346.9192459251703,Toggle,1,2
84,11.934429658043028,3347.135435665491,Toggle,1,2
85,11.934490482448455,3347.320184388932,Toggle,1,2
86,11.93454265367162,3347.4780741437376,Toggle,1,2
87,11.93458741958947,3347.6130178622543,Toggle,1,2
88,11.934625842944001,3347.7283570658788,Toggle,1,2
89,11.934658830705837,3347.826946410051,Toggle,1,2
90,11.934687157902411,3347.9112247355483,Toggle,1,2
91,11.934711487148007,3347.98327500786,Toggle,1,2
92,11.934732385372087,3348.0448761068105,Toggle,1,2
93,11.934750338159647,3348.097547492589,Toggle,1,2
94,11.934765761717552,3348.1425870642015,Toggle,1,2
95,11.934779012999373,3348.181103631124,Toggle,1,2
96,11.93479039824443,3348.2140444474653,Toggle,1,2
97,11.934800180303167,3348.242218823146,Toggle,1,2
98,11.934808584884856,3348.266318301107,Toggle,1,2
99,11.934815805851406,3348.286933826166,Toggle,1,2
100,11.934822009732045,3348.3045703931325,Toggle,1,2
101,11.934827339528326,3348.319659336548,Toggle,1,2
102,11.9348319180647,3348.332569180199,Toggle,1,2
103,11.93483585103824,3348.343615291289,Toggle,1,2
104,11.934839229206622,3348.3530672576153,Toggle,1,2
105,11.934842131150146,3348.3611571832994,Toggle,1,2
106,11.934844623777593,3348.3680814128597,Toggle,1,2
107,11.934846764587359,3348.3740078688998,Toggle,1,2
108,11.934848603156018,3348.379080707818,Toggle,1,2
109,11.934850182064356,3348.3834231574156,Toggle,1,2
110,11.934851537839872,3348.3871405192244,Toggle,1,2
111,11.93485270191702,3348.3903228445884,Toggle,1,2
112,11.934853701379424,3348.3930474152717,Toggle,1,2
113,11.934854559537907,3348.395380395716,Toggle,1,2
114,11.934855296267799,3348.3973779614716,Toggle,1,2
115,11.934855928693484,3348.3990883672936,Toggle,1,2
116,11.934856471555978,3348.4005529692063,Toggle,1,2
117,11.93485693753285,3348.401807244393,Toggle,1,2
118,11.934857337479636,3348.402881392941,Toggle,1,2
119,11.934857680729058,3348.4038012936976,Toggle,1,2
120,11.934857975275882,3348.404589040737,Toggle,1,2
121,11.934858228015,3348.4052636241554,Toggle,1,2
